# Phonon frequencies in Ha
    1           0.000           0.000           0.000           0.001           0.001           0.001
    2           0.000           0.000           0.000           0.001           0.001           0.001
    3           0.000           0.000           0.000           0.001           0.001           0.001
    4           0.000           0.000           0.000           0.001           0.001           0.001
    5           0.000           0.000           0.000           0.001           0.001           0.001
    6           0.000           0.000           0.000           0.001           0.001           0.001
    7           0.000           0.000           0.000           0.001           0.001           0.001
    8           0.000           0.000           0.000           0.001           0.001           0.001
    9           0.000           0.000           0.000           0.001           0.001           0.001
   10           0.000           0.000           0.000           0.001           0.001           0.001
   11           0.000           0.000           0.000           0.001           0.001           0.001
   12           0.000           0.000           0.000           0.001           0.001           0.001
   13           0.000           0.000           0.000           0.001           0.001           0.001
   14           0.000           0.000           0.000           0.001           0.001           0.001
   15           0.000           0.000           0.000           0.001           0.001           0.001
   16           0.000           0.000           0.000           0.001           0.001           0.001
   17           0.000           0.000           0.000           0.001           0.001           0.001
   18           0.000           0.000           0.000           0.001           0.001           0.001
   19           0.000           0.000           0.000           0.001           0.001           0.001
   20           0.000           0.000           0.000           0.001           0.001           0.001
   21           0.000           0.000           0.000           0.001           0.001           0.001
   22           0.000           0.000           0.000           0.001           0.001           0.001
   23           0.000           0.000           0.000           0.001           0.001           0.001
   24           0.000           0.000           0.000           0.001           0.001           0.001
   25           0.000           0.000           0.000           0.001           0.001           0.001
   26           0.000           0.000           0.000           0.001           0.001           0.001
   27           0.000           0.000           0.000           0.001           0.001           0.001
   28           0.000           0.000           0.000           0.001           0.001           0.001
   29           0.000           0.000           0.000           0.001           0.001           0.001
   30           0.000           0.000           0.000           0.001           0.001           0.001
   31           0.000           0.000           0.001           0.001           0.001           0.001
   32           0.000           0.000           0.001           0.001           0.001           0.001
   33           0.000           0.000           0.001           0.001           0.001           0.001
   34           0.000           0.000           0.001           0.001           0.001           0.001
   35           0.000           0.000           0.001           0.001           0.001           0.001
   36           0.000           0.000           0.001           0.001           0.001           0.001
   37           0.000           0.000           0.001           0.001           0.001           0.001
   38           0.000           0.000           0.001           0.001           0.001           0.001
   39           0.000           0.000           0.001           0.001           0.001           0.001
   40           0.000           0.000           0.001           0.001           0.001           0.001
   41           0.000           0.000           0.001           0.001           0.001           0.001
   42           0.000           0.000           0.001           0.001           0.001           0.001
   43           0.000           0.000           0.001           0.001           0.001           0.001
   44           0.000           0.000           0.001           0.001           0.001           0.001
   45           0.000           0.000           0.001           0.001           0.001           0.001
   46           0.000           0.001           0.001           0.001           0.001           0.001
   47           0.000           0.001           0.001           0.001           0.001           0.001
   48           0.000           0.001           0.001           0.001           0.001           0.001
   49           0.000           0.001           0.001           0.001           0.001           0.001
   50           0.000           0.001           0.001           0.001           0.001           0.001
   51           0.000           0.001           0.001           0.001           0.001           0.001
   52           0.000           0.001           0.001           0.001           0.001           0.001
   53           0.000           0.001           0.001           0.001           0.001           0.001
   54           0.000           0.001           0.001           0.001           0.001           0.001
   55           0.000           0.001           0.001           0.001           0.001           0.001
   56           0.000           0.001           0.001           0.001           0.001           0.001
   57           0.000           0.001           0.001           0.001           0.001           0.001
   58           0.000           0.001           0.001           0.001           0.001           0.001
   59           0.000           0.001           0.001           0.001           0.001           0.001
   60           0.000           0.001           0.001           0.001           0.001           0.001
   61           0.000           0.001           0.001           0.001           0.001           0.001
   62           0.000           0.001           0.001           0.001           0.001           0.001
   63           0.000           0.001           0.001           0.001           0.001           0.001
   64           0.001           0.001           0.001           0.001           0.001           0.001
   65           0.001           0.001           0.001           0.001           0.001           0.001
   66           0.001           0.001           0.001           0.001           0.001           0.001
   67           0.001           0.001           0.001           0.001           0.001           0.001
   68           0.001           0.001           0.001           0.001           0.001           0.001
   69           0.001           0.001           0.001           0.001           0.001           0.001
   70           0.001           0.001           0.001           0.001           0.001           0.001
   71           0.001           0.001           0.001           0.001           0.001           0.001
   72           0.001           0.001           0.001           0.001           0.001           0.001
   73           0.001           0.001           0.001           0.001           0.001           0.001
   74           0.001           0.001           0.001           0.001           0.001           0.001
   75           0.001           0.001           0.001           0.001           0.001           0.001
   76           0.001           0.001           0.001           0.001           0.001           0.001
   77           0.001           0.001           0.001           0.001           0.001           0.001
   78           0.001           0.001           0.001           0.001           0.001           0.001
   79           0.001           0.001           0.001           0.001           0.001           0.001
   80           0.001           0.001           0.001           0.001           0.001           0.001
   81           0.001           0.001           0.001           0.001           0.001           0.001
   82           0.001           0.001           0.001           0.001           0.001           0.001
   83           0.001           0.001           0.001           0.001           0.001           0.001
   84           0.001           0.001           0.001           0.001           0.001           0.001
   85           0.001           0.001           0.001           0.001           0.001           0.001
   86           0.001           0.001           0.001           0.001           0.001           0.001
   87           0.001           0.001           0.001           0.001           0.001           0.001
   88           0.001           0.001           0.001           0.001           0.001           0.001
   89           0.001           0.001           0.001           0.001           0.001           0.001
   90           0.001           0.001           0.001           0.001           0.001           0.001
   91           0.001           0.001           0.001           0.001           0.001           0.001
   92           0.001           0.001           0.001           0.001           0.001           0.001
   93           0.001           0.001           0.001           0.001           0.001           0.001
   94           0.001           0.001           0.001           0.001           0.001           0.001
   95           0.001           0.001           0.001           0.001           0.001           0.001
   96           0.001           0.001           0.001           0.001           0.001           0.001
   97           0.001           0.001           0.001           0.001           0.001           0.001
   98           0.001           0.001           0.001           0.001           0.001           0.001
   99           0.001           0.001           0.001           0.001           0.001           0.001
  100           0.001           0.001           0.001           0.001           0.001           0.001
  101           0.001           0.001           0.001           0.001           0.001           0.001
  102           0.001           0.001           0.001           0.001           0.001           0.001
  103           0.001           0.001           0.001           0.001           0.001           0.001
